id,indicator_id,province_id,indicator_value,year
,20,1400,10.72,2024
,20,1500,18.66,2024
,20,1600,7.19,2024
,20,1700,25.28,2024
,20,1800,7.76,2024
,20,1900,20.63,2024
,20,2100,14.19,2024
,20,3100,37.68,2024
,20,3200,19.74,2024
,20,3300,20.13,2024
,20,3400,24.35,2024
,20,3500,18.82,2024
,20,3600,24.24,2024
,20,5100,25,2024
,20,5200,17.88,2024
,20,5300,14.91,2024
,20,6100,10.75,2024
,20,6200,17.22,2024
,20,6300,11.99,2024
,20,6400,28.77,2024
,20,6500,14.7,2024
,20,7100,19.14,2024
,20,7200,2.96,2024
,20,7300,12.56,2024
,20,7400,11.95,2024
,20,7500,74.46,2024
,20,7600,5.57,2024
,20,8100,14.28,2024
,20,8200,16.98,2024
,20,9100,5.86,2024
,20,9400,7.16,2024
,20,1001,21.46,2024
,21,1100,46.7,2024
,21,1200,47.74,2024
,21,1300,52.99,2024
,21,1400,75.26,2024
,21,1500,48.94,2024
,21,1600,60,2024
,21,1700,73.11,2024
,21,1800,63.94,2024
,21,1900,47.37,2024
,21,2100,53.51,2024
,21,3100,53.39,2024
,21,3200,56.53,2024
,21,3300,68.19,2024
,21,3400,75.25,2024
,21,3500,67.48,2024
,21,3600,64.01,2024
,21,5100,81.82,2024
,21,5200,80,2024
,21,5300,80.69,2024
,21,6100,49.4,2024
,21,6200,55.5,2024
,21,6300,60.46,2024
,21,6400,37.61,2024
,21,6500,34.79,2024
,21,7100,39.66,2024
,21,7200,41.54,2024
,21,7300,49.06,2024
,21,7400,39.79,2024
,21,7500,64.88,2024
,21,7600,37.43,2024
,21,8100,34.82,2024
,21,8200,46.93,2024
,21,9100,49.12,2024
,21,9400,52.82,2024
,21,1001,59.81,2024
,22,1100,15.6,2024
,22,1200,10.55,2024
,22,1300,17.36,2024
,22,1400,12.27,2024
,22,1500,13.02,2024
,22,1600,8.87,2024
,22,1700,13.28,2024
,22,1800,13.84,2024
,22,1900,9.43,2024
,22,2100,14.7,2024
,22,3100,16.54,2024
,22,3200,11.4,2024
,22,3300,21.58,2024
,22,3400,25.69,2024
,22,3500,13.68,2024
,22,3600,12.61,2024
,22,5100,20,2024
,22,5200,15.35,2024
,22,5300,22.61,2024
,22,6100,24.87,2024
,22,6200,12.12,2024
,22,6300,7.4,2024
,22,6400,11.55,2024
,22,6500,10.93,2024
,22,7100,15.48,2024
,22,7200,14.05,2024
,22,7300,9.11,2024
,22,7400,11.64,2024
,22,7500,11.22,2024
,22,7600,13.62,2024
,22,8100,9.48,2024
,22,8200,17.36,2024
,22,9100,19.39,2024
,22,9400,16.3,2024
,22,1001,13.17,2024
