indicator_id,province_id,indicator_value,year
22,7500,13.64,2022
22,7600,13.10,2022
22,8100,19.15,2022
22,8200,17.29,2022
22,9100,15.85,2022
22,9400,23.12,2022
22,1001,11.74,2022
23,1100,2.26,2022
23,1200,5.72,2022
23,1300,4.87,2022
23,1400,3.29,2022
23,1500,3.80,2022
23,1600,1.37,2022
23,1700,4.18,2022
23,1800,4.28,2022
23,1900,2.58,2022
23,2100,8.37,2022
23,3100,5.85,2022
23,3200,3.07,2022
23,3300,8.23,2022
23,3400,10.13,2022
23,3500,6.00,2022
23,3600,1.19,2022
23,5100,17.92,2022
23,5200,6.46,2022
23,5300,4.82,2022
23,6100,2.70,2022
23,6200,4.23,2022
23,6300,2.67,2022
23,6400,3.76,2022
23,6500,2.60,2022
23,7100,12.06,2022
23,7200,6.43,2022
23,7300,4.14,2022
23,7400,2.41,2022
23,7500,2.99,2022
23,7600,6.41,2022
23,8100,12.65,2022
23,8200,9.00,2022
23,9100,6.45,2022
23,9400,2.05,2022
23,1001,5.14,2022
24,1100,1.06,2022
24,1200,1.84,2022
24,1300,1.23,2022
24,1400,1.39,2022
24,1500,1.32,2022
24,1600,0.52,2022
24,1700,1.22,2022
24,1800,0.87,2022
24,1900,0.95,2022
24,2100,0.89,2022
24,3100,1.13,2022
24,3200,0.83,2022
24,3300,1.61,2022
24,3400,1.91,2022
24,3500,1.71,2022
24,3600,0.66,2022
24,5100,3.42,2022
24,5200,1.38,2022
24,5300,0.86,2022
24,6100,0.83,2022
24,6200,1.72,2022
24,6300,2.25,2022
24,6400,1.47,2022
24,6500,3.25,2022
24,7100,1.76,2022
24,7200,0.40,2022
24,7300,0.95,2022
24,7400,1.44,2022
24,7500,0.68,2022
24,7600,1.25,2022
24,8100,1.81,2022
24,8200,1.88,2022
24,9100,2.33,2022
24,9400,3.81,2022
24,1001,1.34,2022
25,1100,29.10,2022
25,1200,7.53,2022
25,1300,14.81,2022
25,1400,10.34,2022
25,1500,8.17,2022
25,1600,11.30,2022
25,1700,8.27,2022
25,1800,17.83,2022
25,1900,7.03,2022
25,2100,14.18,2022
25,3100,6.82,2022
